no,Ex,Ag,Co,Ne,Op
128,0.991949974,1.356625749,-0.416085466,0.324843105,0.275304596
129,-0.08001241,0.05651724,-0.187831863,0.065450305,0.010344473
130,0.134380066,-0.463526163,-0.187831863,-0.193942495,0.540264719
131,1.206342451,0.836582346,1.409943355,-0.193942495,0.805224842
132,-0.294404887,-0.463526163,-0.644339068,0.324843105,-0.25461565
133,-0.294404887,0.576560644,-0.416085466,-0.453335294,-0.25461565
134,-0.294404887,0.576560644,-0.187831863,0.065450305,0.275304596
135,-0.08001241,-0.463526163,-1.100846273,0.584235905,-0.784535896
136,-0.723189841,0.836582346,1.638196957,-1.490906494,0.010344473
137,0.56316502,0.836582346,1.409943355,-1.231513694,0.805224842
138,0.991949974,-0.723547865,0.725182547,1.103021504,0.275304596
139,1.420734928,-0.203504462,1.181689752,-0.193942495,0.805224842
140,-0.937582318,-0.463526163,-0.416085466,-1.231513694,-1.314456142
141,-0.937582318,0.836582346,-2.470367888,0.065450305,0.540264719
142,1.206342451,0.316538942,0.268675342,-1.231513694,-0.25461565
143,0.348772543,0.576560644,0.95343615,-1.231513694,0.540264719
144,0.56316502,1.096604047,0.040421739,0.324843105,0.805224842
145,1.420734928,-0.203504462,0.95343615,0.065450305,0.010344473
146,0.134380066,-0.463526163,-0.644339068,0.324843105,0.010344473
147,0.56316502,0.05651724,0.040421739,0.324843105,1.070184965
148,-0.08001241,0.316538942,0.040421739,-0.193942495,0.540264719
149,-0.723189841,1.096604047,0.725182547,-0.193942495,0.540264719
150,0.56316502,0.836582346,0.040421739,-0.453335294,-0.25461565
151,-2.223937179,-2.803721479,-0.416085466,0.065450305,0.010344473
152,-0.723189841,1.616647451,1.86645056,0.065450305,0.805224842
153,-0.723189841,1.356625749,-1.785607081,0.584235905,-2.374296634
154,0.56316502,0.316538942,0.95343615,-0.453335294,0.275304596
155,2.492697312,0.05651724,2.322957765,-0.453335294,1.865065335
156,-2.438329656,-3.583786585,-3.155128696,-1.750299293,-3.434137126
157,2.492697312,0.05651724,2.322957765,-2.528477693,2.924905827
158,0.134380066,-0.463526163,1.86645056,0.843628705,0.805224842
159,-0.508797364,0.05651724,-0.187831863,0.584235905,-0.784535896
160,0.56316502,0.05651724,1.409943355,-0.972120894,1.335145088
161,-1.366367272,-2.023656374,1.181689752,-3.047263293,1.335145088
162,0.134380066,-1.50361297,1.181689752,-2.269084893,1.335145088
163,-1.580759749,-0.723547865,-0.187831863,0.584235905,1.600105212
164,-1.795152226,0.316538942,1.638196957,-1.231513694,0.540264719
165,0.991949974,0.576560644,0.268675342,-0.453335294,0.010344473
166,-0.723189841,-0.463526163,-0.872592671,0.843628705,-0.25461565
167,0.134380066,-1.50361297,0.95343615,0.843628705,-0.519575773
168,-0.723189841,-0.983569567,-0.416085466,1.103021504,-0.519575773
169,0.348772543,0.576560644,0.496928944,0.065450305,-1.314456142
170,0.777557497,0.576560644,1.86645056,-1.231513694,0.010344473
171,-0.508797364,0.576560644,0.725182547,-1.490906494,0.805224842
172,-2.009544703,-2.023656374,0.725182547,2.659378303,-1.579416265
173,-0.08001241,-0.463526163,0.496928944,-0.193942495,0.540264719
174,0.134380066,0.576560644,0.95343615,-1.750299293,0.275304596
175,-0.508797364,-0.463526163,0.040421739,-0.712728094,-0.519575773
176,0.348772543,-1.50361297,-1.557353478,-2.528477693,-1.049496019
177,1.420734928,1.356625749,1.86645056,-2.009692093,1.600105212
178,-0.294404887,0.05651724,1.409943355,-2.009692093,1.070184965
179,-0.08001241,1.356625749,1.181689752,-0.712728094,0.010344473
180,0.348772543,0.836582346,0.95343615,-1.490906494,0.540264719
181,-0.937582318,-0.203504462,0.040421739,0.065450305,-0.784535896
182,1.420734928,2.656734258,0.95343615,-0.193942495,2.924905827
183,0.991949974,0.05651724,-1.329099876,0.324843105,0.805224842
184,0.134380066,-0.463526163,-0.187831863,0.065450305,-0.25461565
185,0.991949974,-1.243591269,-2.013860683,-0.712728094,-0.784535896
186,-0.508797364,0.576560644,0.040421739,0.843628705,0.010344473
187,0.134380066,1.616647451,1.86645056,-2.528477693,1.865065335
188,2.063912359,1.616647451,1.181689752,-2.787870493,2.394985581
189,-0.723189841,-0.723547865,-0.872592671,0.843628705,-0.25461565
190,0.348772543,1.096604047,1.86645056,-1.231513694,1.070184965
191,0.348772543,0.576560644,1.409943355,0.843628705,0.805224842
192,-0.508797364,0.576560644,0.040421739,0.584235905,0.275304596
193,-2.223937179,0.316538942,1.181689752,-0.712728094,-1.314456142
194,-0.08001241,-0.463526163,0.496928944,1.362414304,0.540264719
195,-0.508797364,-0.203504462,0.040421739,-2.269084893,0.540264719
196,0.991949974,-0.463526163,0.95343615,1.103021504,0.540264719
197,0.134380066,-0.463526163,0.95343615,-0.972120894,0.805224842
198,0.56316502,0.836582346,0.496928944,-0.972120894,0.275304596
199,0.991949974,1.356625749,0.95343615,-0.453335294,0.805224842
200,-0.08001241,-0.203504462,0.95343615,-0.972120894,-0.519575773
201,-0.937582318,-0.203504462,0.268675342,-0.712728094,0.540264719
202,-2.438329656,-0.203504462,-0.416085466,1.621807104,-1.049496019
203,1.206342451,1.876669153,1.409943355,0.324843105,0.010344473
204,-0.508797364,1.356625749,0.040421739,-0.712728094,-0.25461565
205,-0.937582318,1.356625749,2.094704162,-0.193942495,1.335145088
206,0.56316502,0.576560644,1.181689752,0.324843105,0.010344473
207,0.348772543,0.576560644,-0.416085466,0.324843105,-0.25461565
